Crop,Nitrogen (kg/acre),Carbon (kg/acre),Moisture (liters/acre),Minerals (kg/acre)
Tomato,52,90,1621,30
Carrot,41,80,1773,43
Spinach,42,79,2282,24
Sesame,55,90,2256,30
Pumpkin,69,107,2379,16
Spinach,61,84,1589,32
Sesame,54,74,2213,41
Spinach,57,89,2010,42
Millet,77,99,2425,34
Millet,79,103,1501,21
Sesame,60,89,1824,30
Beetroot,52,88,1712,33
Groundnut,54,85,1941,24
Okra,69,89,1769,21
Onion,35,75,2507,37
Pea,67,97,2440,31
Sesame,73,105,1850,42
Tomato,74,98,2376,27
Maize,57,86,2445,43
Garlic,46,74,2028,35
Lentil,35,68,2563,34
Wheat,69,101,1761,39
Potato,75,114,1740,20
Tomato,66,87,2564,18
Potato,67,101,2280,44
Millet,59,89,1548,18
Sunflower,38,75,2472,37
Garlic,35,69,2043,15
Beetroot,76,102,2218,32
Mustard,73,109,2170,41
Sesame,79,105,2316,34
Pumpkin,62,90,1641,17
Onion,57,89,1547,37
Carrot,49,83,2288,42
Cotton,57,90,1729,17
Wheat,61,99,2012,23
Mustard,44,68,2260,22
Turmeric,48,68,2470,39
Potato,77,104,2080,29
Rice,53,91,1830,40
Ginger,64,100,1901,39
Lentil,66,86,2247,16
Mustard,61,93,1779,34
Carrot,46,73,2180,31
Sunflower,75,97,1943,16
Millet,79,108,1819,36
Soybean,43,77,1637,36
Barley,39,79,1556,25
Pea,60,87,1973,26
Barley,79,102,2371,34
Pumpkin,79,109,2406,39
Sunflower,66,87,2004,28
Carrot,37,74,2218,32
Barley,61,97,2188,22
Okra,58,89,2137,36
Soybean,49,78,2047,25
Mustard,72,92,2154,25
Wheat,48,79,2268,23
Garlic,51,83,2120,35
Carrot,61,93,1823,40
Brinjal,40,65,1588,34
Cabbage,39,66,2511,22
Brinjal,46,72,2088,29
Brinjal,42,79,2367,18
Ginger,62,92,2181,17
Beetroot,79,116,2472,41
Pumpkin,58,94,2373,22
Lentil,76,102,1902,15
Mustard,80,100,2103,34
Carrot,49,76,1692,36
Pumpkin,80,108,1592,38
Potato,77,104,2552,15
Okra,74,107,1988,27
Brinjal,55,82,2295,21
Pumpkin,41,69,2338,35
Potato,78,105,2590,36
Rice,45,80,2341,20
Wheat,71,104,2160,33
Sugarcane,48,71,1525,24
Groundnut,48,71,1980,37
Spinach,58,86,2166,31
Onion,43,78,2487,30
Pumpkin,49,85,2486,23
Cauliflower,67,91,1509,17
Sesame,76,104,2549,42
Cotton,52,76,1771,37
Pumpkin,69,103,1848,41
Sugarcane,78,109,1601,39
Pumpkin,58,93,2007,15
Turmeric,67,103,1721,40
Brinjal,47,72,2372,17
Millet,45,72,1798,44
Spinach,45,72,1982,28
Sugarcane,47,75,1682,38
Okra,42,77,1868,20
Sunflower,72,109,1645,24
Millet,78,107,1770,40
Chickpea,69,109,2339,33
Turmeric,64,96,1582,20
Mustard,39,74,2075,16
Maize,67,107,2418,27
Pumpkin,74,107,1587,25
Wheat,72,96,2036,29
Turmeric,69,93,1987,31
Potato,37,59,2092,26
Sesame,75,99,1762,15
Pea,80,120,2403,45
Okra,41,79,2082,44
Sunflower,50,72,1811,18
Pea,50,72,2002,22
Turmeric,74,113,1589,16
Ginger,48,81,2357,21
Rice,76,109,2300,31
Potato,35,66,1685,43
Maize,59,89,2087,28
Tomato,76,99,2378,36
Cotton,42,67,2515,37
Potato,39,73,2274,16
Beetroot,48,78,1592,21
Ginger,62,94,2590,19
Ginger,71,96,2433,44
Carrot,67,107,1560,29
Millet,74,110,2136,16
Wheat,47,81,1905,19
Okra,46,73,2261,29
Sunflower,62,97,2104,24
Tomato,65,91,2379,17
Sugarcane,59,86,2358,39
Pumpkin,50,89,2574,28
Lentil,68,97,2580,15
Wheat,68,102,1999,35
Rice,73,96,1568,18
Chickpea,76,108,2350,16
Carrot,37,74,2259,18
Potato,63,83,1775,19
Turmeric,52,82,1704,23
Cabbage,50,87,2508,17
Garlic,73,111,1581,44
Barley,53,79,1658,19
Sugarcane,71,111,1888,37
Chickpea,49,81,1898,32
Tomato,42,64,2207,16
Barley,45,82,2120,41
Tomato,41,69,1521,44
Lentil,60,91,1551,27
Wheat,37,64,2246,40
Spinach,68,89,1877,21
Turmeric,35,60,1659,20
Beetroot,49,70,1648,22
Ginger,54,90,2226,37
Cotton,69,89,1670,21
Pumpkin,60,92,2040,23
Cotton,61,81,2215,17
Groundnut,57,93,1957,43
Garlic,73,109,1869,40
Cotton,57,80,2212,39
Beetroot,62,98,2192,36
Groundnut,44,65,1593,16
Sesame,48,82,2261,39
Rice,52,75,1670,40
Chickpea,71,109,2295,18
Ginger,77,105,1622,24
Pumpkin,43,64,2206,26
Cabbage,58,94,2530,30
Millet,38,72,1909,17
Sunflower,57,82,2018,31
Turmeric,77,100,1556,37
Lentil,64,98,1890,23
Sesame,77,113,2107,39
Sugarcane,67,101,2137,45
Sugarcane,41,75,2048,43
Tomato,67,99,2593,38
Sunflower,36,70,2349,37
Beetroot,59,90,2563,23
Capsicum,72,96,2272,24
Groundnut,35,63,2163,30
Cauliflower,48,87,1845,22
Lentil,37,77,2190,44
Carrot,59,90,1599,41
Capsicum,59,81,2456,19
Sunflower,67,87,2280,18
Mustard,79,119,1823,21
Beetroot,77,115,1509,22
Soybean,77,97,2522,34
Brinjal,38,58,1613,22
Wheat,56,81,2581,25
Turmeric,51,71,2552,19
Barley,74,104,1790,26
Sunflower,36,58,2317,36
Millet,64,94,2475,38
Turmeric,55,94,2578,41
Carrot,58,79,1704,36
Soybean,72,106,1909,38
Capsicum,52,84,1825,22
Okra,57,89,2067,32
Cabbage,57,88,1860,38
Spinach,76,102,1576,19
Beetroot,62,86,1957,24
Tomato,47,75,2097,15
Millet,41,76,2365,19
Pea,76,108,2552,41
Garlic,52,81,2090,36
Chickpea,48,72,1794,36
Millet,66,89,2070,39
Mustard,55,89,1869,40
Mustard,59,98,2600,35
Sesame,80,104,2193,17
Potato,53,92,2106,31
Pumpkin,67,100,2510,33
Garlic,63,85,2220,25
Tomato,45,71,2236,45
Spinach,60,85,2178,36
Chickpea,75,112,2158,34
Brinjal,48,72,2521,26
Capsicum,44,81,1626,29
Wheat,65,104,1998,26
Cotton,42,69,1843,45
Sunflower,37,70,2169,38
Garlic,42,65,2401,27
Sugarcane,52,72,2448,40
Sugarcane,58,80,2172,19
Cabbage,55,75,1817,35
Pumpkin,43,79,1875,34
Barley,60,81,2022,40
Cauliflower,72,96,1950,35
Sunflower,45,79,1959,25
Turmeric,72,92,1984,30
Wheat,80,115,1546,24
Tomato,52,80,1981,32
Potato,43,77,1718,20
Carrot,58,81,2399,19
Cabbage,60,97,1912,39
Capsicum,61,99,2342,41
Potato,46,78,2512,42
Onion,70,99,2070,27
Potato,41,69,1667,36
Tomato,52,72,2600,21
Pea,78,109,2115,27
Cauliflower,62,96,2291,42
Sesame,39,61,2339,40
Cabbage,66,101,2062,32
Garlic,51,75,1961,33
Groundnut,45,79,1560,42
Garlic,65,92,1720,19
Onion,65,103,1620,31
Pea,53,80,2050,43
Cauliflower,76,101,2515,34
Chickpea,69,98,2061,23
Turmeric,60,95,2096,29
Turmeric,78,99,1648,29
Brinjal,63,84,2294,27
Maize,59,81,1777,41
Pea,80,119,1983,42
Lentil,58,81,1855,39
Cabbage,60,97,2212,39
Chickpea,50,79,2552,42
Wheat,50,87,2540,27
Capsicum,53,86,1653,37
Pumpkin,49,81,1713,24
Sunflower,71,110,1910,45
Okra,62,86,2087,18
Soybean,74,100,2494,21
Barley,46,74,2356,25
Okra,42,65,1508,19
Sesame,39,73,2299,31
Maize,69,99,2051,37
Onion,52,79,1856,18
Lentil,72,105,2271,36
Mustard,44,74,1651,29
Garlic,74,96,1603,26
Cabbage,76,111,1587,32
Mustard,72,94,2133,19
Spinach,35,64,2144,45
Capsicum,44,69,1684,24
Sunflower,73,104,1723,39
Mustard,65,96,1685,32
Pumpkin,75,97,1788,37
Millet,51,72,1831,29
Sesame,41,69,1966,39
Cauliflower,45,81,2115,43
Onion,51,90,2158,37
Garlic,63,99,2264,26
Sesame,77,110,1863,20
Cabbage,36,74,1583,23
Brinjal,53,77,1880,43
Turmeric,74,94,2425,35
Cabbage,61,96,2162,22
Brinjal,41,76,1732,25
Onion,67,96,1950,23
Wheat,41,74,1571,43
Capsicum,69,95,1603,17
Groundnut,66,104,1529,27
Capsicum,65,87,1709,24
Sugarcane,52,87,2233,39
Pea,72,93,2536,15
Onion,42,71,1799,30
Carrot,50,90,2537,25
Capsicum,40,71,2572,21
Rice,39,76,1793,22
Carrot,61,87,2469,28
Garlic,59,92,1581,44
Barley,46,83,2044,30
Lentil,38,76,1535,29
Carrot,79,119,2551,41
Chickpea,69,105,1702,30
Spinach,61,92,2472,27
Garlic,53,91,1681,42
Carrot,61,87,1790,27
